Ref,Value,Package,PosX_mm,PosY_mm,Rotation_deg,Side
J1,S2B-PH-SM4-TB(LF)(SN),JST_PH_S2B-PH-SM4-TB_1x02_P2.00mm_Horizontal,5,18,0,Top
J2,S2B-PH-SM4-TB(LF)(SN),JST_PH_S2B-PH-SM4-TB_1x02_P2.00mm_Horizontal,12,41,0,Top
F1,MF-NSMF150-2,Bourns_MF-NSMF_1206,10,8,0,Top
Q1,Si5908BDC-T1-GE3,Vishay_1206-8_ChipFET,18,8,0,Top
U3,LTC4365ITS8#TRMPBF,TSOT-23-8,26,11,0,Top
R5,100k,R_0603,22,16,0,Top
R8,100k,R_0603,28.5,16,0,Top
C6,0.1uF,C_0603,13,13,0,Top
C7,10uF,Murata_GRM21_Reflow_a1.10_b0.95_c0.95,18,16,0,Top
U2,AP22804AW5-7,Diodes_SOT-25_AP22804,22,29,0,Top
C3,1uF,C_0603,27,25,0,Top
C4,1uF,C_0603,18,33,0,Top
R6,100k,R_0603,26,32,0,Top
U1,MAX17048G+T10,ADI_TDFN-8-1EP_2x2_P0.5_EP0.8x1.2,58,28,0,Top
C1,0.1uF,C_0603,52,24,0,Top
C2,0.1uF,C_0603,54,31,0,Top
R1,4.7k,R_0603,50,34,0,Top
R2,4.7k,R_0603,56,22,0,Top
R7,10k,R_0603,68,34,0,Top
J3,FH12-18S-0.5SH(55),Hirose_FH12-18S-0.5SH_1x18_P0.50mm,34.25,4.5,0,Top
J4,FH12-18S-0.5SH(55),Hirose_FH12-18S-0.5SH_1x18_P0.50mm,34.25,50.5,0,Top
SW1,PCM12SMTR,C&K_PCM12SMTR,77,34,270,Top
SW2,PTS850VR18PSMTR LFS,C&K_PTS850_with_boss_actuator_plusX,79,42,0,Top
SW3,PTS850VR18PSMTR LFS,C&K_PTS850_with_boss_actuator_plusX,79,51,0,Top
R3,100k,R_0603,69,15,0,Top
R4,100k,R_0603,70,18,0,Top
C5,0.1uF,C_0603,70,21,0,Top
TP1,Keystone 5015,Keystone_5015_SMT,8,40,0,Top
TP2,Keystone 5015,Keystone_5015_SMT,42,12,0,Top
TP3,Keystone 5015,Keystone_5015_SMT,8,52,0,Top
TP4,Keystone 5015,Keystone_5015_SMT,65,12,0,Top
TP5,Keystone 5015,Keystone_5015_SMT,47,25,0,Top
TP6,Keystone 5015,Keystone_5015_SMT,48,31,0,Top
