Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1uF","C_0603",52.000000,-24.000000,0.000000,top
"C2","0.1uF","C_0603",54.000000,-31.000000,0.000000,top
"C3","1uF","C_0603",27.000000,-25.000000,0.000000,top
"C4","1uF","C_0603",18.000000,-33.000000,0.000000,top
"C5","0.1uF","C_0603",70.000000,-21.000000,0.000000,top
"C6","0.1uF","C_0603",13.000000,-13.000000,0.000000,top
"C7","10uF","Murata_GRM21_Reflow_a1.10_b0.95_c0.95",18.000000,-16.000000,0.000000,top
"F1","MF-NSMF150-2","Bourns_MF-NSMF_1206",10.000000,-8.000000,0.000000,top
"J1","S2B-PH-SM4-TB(LF)(SN)","JST_PH_S2B-PH-SM4-TB_1x02_P2.00mm_Horizontal",5.000000,-18.000000,0.000000,top
"J2","S2B-PH-SM4-TB(LF)(SN)","JST_PH_S2B-PH-SM4-TB_1x02_P2.00mm_Horizontal",12.000000,-41.000000,0.000000,top
"J3","FH12-18S-0.5SH(55)","Hirose_FH12-18S-0.5SH_1x18_P0.50mm",34.250000,-4.500000,0.000000,top
"J4","FH12-18S-0.5SH(55)","Hirose_FH12-18S-0.5SH_1x18_P0.50mm",34.250000,-50.500000,0.000000,top
"Q1","Si5908BDC-T1-GE3","Vishay_1206-8_ChipFET",18.000000,-8.000000,0.000000,top
"R1","4.7k","R_0603",50.000000,-34.000000,0.000000,top
"R2","4.7k","R_0603",56.000000,-22.000000,0.000000,top
"R3","100k","R_0603",69.000000,-15.000000,0.000000,top
"R4","100k","R_0603",70.000000,-18.000000,0.000000,top
"R5","100k","R_0603",22.000000,-16.000000,0.000000,top
"R6","100k","R_0603",26.000000,-32.000000,0.000000,top
"R7","10k","R_0603",68.000000,-34.000000,0.000000,top
"R8","100k","R_0603",28.500000,-16.000000,0.000000,top
"SW1","PCM12SMTR","C&K_PCM12SMTR",77.000000,-34.000000,-90.000000,top
"SW2","PTS850VR18PSMTR LFS","C&K_PTS850_with_boss_actuator_plusX",79.000000,-42.000000,0.000000,top
"SW3","PTS850VR18PSMTR LFS","C&K_PTS850_with_boss_actuator_plusX",79.000000,-51.000000,0.000000,top
"TP1","Keystone 5015","Keystone_5015_SMT",8.000000,-40.000000,0.000000,top
"TP2","Keystone 5015","Keystone_5015_SMT",42.000000,-12.000000,0.000000,top
"TP3","Keystone 5015","Keystone_5015_SMT",8.000000,-52.000000,0.000000,top
"TP4","Keystone 5015","Keystone_5015_SMT",65.000000,-12.000000,0.000000,top
"TP5","Keystone 5015","Keystone_5015_SMT",47.000000,-25.000000,0.000000,top
"TP6","Keystone 5015","Keystone_5015_SMT",48.000000,-31.000000,0.000000,top
"U1","MAX17048G+T10","ADI_TDFN-8-1EP_2x2_P0.5_EP0.8x1.2",58.000000,-28.000000,0.000000,top
"U2","AP22804AW5-7","Diodes_SOT-25_AP22804",22.000000,-29.000000,0.000000,top
"U3","LTC4365ITS8#TRMPBF","TSOT-23-8",26.000000,-11.000000,0.000000,top
