Net,Endpoints,Function
GND,"J1.2 J2.2 J3.3 J4.3 J5.5 U3.7 U3.8 C6.2 C7.2 U2.2 C3.2 C4.2 R6.2 U1.1 U1.4 U1.6 U1.EP C1.2 C2.2 R4.2 C5.2 SW1.1 SW2.2 SW2.4 SW3.2 SW3.4 TP3",Common ground
BAT_RAW,"J1.1 F1.1",Protected-cell raw input
BAT_FUSED,"F1.2 Q1.7(D1) Q1.8(D1) U3.5(VIN) R5.1 R8.1 C6.1",PTC-protected battery before back-to-back MOSFETs
FET_COMMON,"Q1.1(S1) Q1.3(S2)",Common-source node inside back-to-back dual MOSFET
PROT_GATE,"Q1.2(G1) Q1.4(G2) U3.1(GATE)",LTC4365 gate drive for both MOSFETs
PROT_SHDN,"U3.4(SHDN) R5.2",Shutdown held high from BAT_FUSED
PROT_UV,"U3.6(UV) R8.2",External UV disabled by pull-up to BAT_FUSED; built-in VIN UVLO remains
VBAT_SAFE,"Q1.5(D2) Q1.6(D2) U3.2(VOUT) J2.1 U1.2(CELL) U1.3(VDD) C1.1 C2.1 C7.1 TP1",Battery after PTC and back-to-back isolation
3V3,"J3.1 U2.5 C3.1 R1.1 R2.1 R7.1 TP2",Controller 3.3V supply
DISP_3V3,"U2.1 C4.1 J4.1",Gated display supply
LCD_BL,"J3.2 J4.2",GPIO21 PWM backlight
SCLK,"J3.4 J4.4",GPIO17 display SPI clock
MOSI,"J3.5 J4.5",GPIO15 display SPI MOSI
MISO,"J3.6 J4.6",GPIO16 display SPI MISO
LCD_DC,"J3.7 J4.7",GPIO3 display data-command
LCD_RST,"J3.8 J4.8",GPIO38 display reset
LCD_CS,"J3.9 J4.9",GPIO18 display chip-select
SD_CS,"J3.10 J4.10",GPIO9 pass-through; unused by firmware
LCD_POWER_EN,"J3.11 J4.11 U2.4 R6.1",GPIO7 display-load enable with 100k pull-down
TOUCH_CS,"J3.12 J4.12",GPIO12 pass-through; touch unused
SCL,"J3.13 J4.13 U1.7 R1.2 TP6",GPIO2 I2C clock
SDA,"J3.14 J4.14 U1.8 R2.2 TP5",GPIO1 I2C data
INT,"J3.15 J4.15",GPIO13 pass-through
BUSY,"J3.16 J4.16",GPIO4 pass-through
X1,"J3.17 J4.17",GDI reserved pass-through
X2,"J3.18 J4.18",GDI reserved pass-through
BTN_A,"J5.1 SW2.1 SW2.3",GPIO47 active-low button
BTN_B,"J5.2 SW3.1 SW3.3",GPIO8 active-low button
POWER_SW,"J5.3 SW1.2",GPIO5 active-low soft-power request
USB_5V,"J5.4 R3.1 TP4",DFR0975 VCC rail; about 5V on USB and battery voltage on battery-only operation; divider threshold distinguishes the states
USB_SENSE,"R3.2 R4.1 C5.1 J5.6",GPIO6 ADC input through divider/filter
ALERT,"U1.5 R7.2 J5.7",Optional active-low fuel-gauge alert
